max_rise,max_fall,fault_site
core_i/cs_registers_i/U665/B2,1.01,0.90
core_i/cs_registers_i/U665/A,1.00,0.88
core_i/cs_registers_i/U665/ZN,0.88,0.97
core_i/cs_registers_i/U666/A,0.60,0.71
core_i/cs_registers_i/U666/ZN,0.71,0.60
core_i/cs_registers_i/U670/A,0.70,0.86
core_i/cs_registers_i/U670/ZN,0.86,0.70
core_i/cs_registers_i/U673/A,0.62,0.74
core_i/cs_registers_i/U673/ZN,0.74,0.62
core_i/cs_registers_i/U676/A,0.63,0.76
core_i/cs_registers_i/U676/ZN,0.76,0.63
core_i/cs_registers_i/U680/A,0.65,0.78
core_i/cs_registers_i/U680/ZN,0.78,0.65
core_i/cs_registers_i/U684/A,0.62,0.73
core_i/cs_registers_i/U684/ZN,0.73,0.62
core_i/cs_registers_i/U688/A,0.62,0.74
core_i/cs_registers_i/U688/ZN,0.74,0.62
core_i/cs_registers_i/U692/A,0.60,0.70
core_i/cs_registers_i/U692/ZN,0.70,0.60
core_i/cs_registers_i/U696/A,0.62,0.73
core_i/cs_registers_i/U696/ZN,0.73,0.62
core_i/cs_registers_i/U111/A1,1.36,2.50
core_i/cs_registers_i/U111/A2,1.37,2.51
core_i/cs_registers_i/U111/A3,1.39,2.51
core_i/cs_registers_i/U111/ZN,1.36,2.50
core_i/cs_registers_i/U112/A1,1.36,2.49
core_i/cs_registers_i/U112/A2,1.38,2.50
core_i/cs_registers_i/U112/A3,1.39,2.51
core_i/cs_registers_i/U112/ZN,1.36,2.49
core_i/cs_registers_i/U1078/A1,3.92,3.97
core_i/cs_registers_i/U1078/A2,3.93,3.97
core_i/cs_registers_i/U1078/B1,3.91,3.96
core_i/cs_registers_i/U1078/B2,3.93,3.96
core_i/cs_registers_i/U1078/ZN,3.96,3.91
core_i/cs_registers_i/U1079/A1,3.92,3.96
core_i/cs_registers_i/U1079/A2,3.93,3.97
core_i/cs_registers_i/U1079/B1,3.91,3.95
core_i/cs_registers_i/U1079/B2,3.93,3.96
core_i/cs_registers_i/U1079/ZN,3.95,3.91
core_i/cs_registers_i/U1080/A1,3.93,3.97
core_i/cs_registers_i/U1080/A2,3.93,3.97
core_i/cs_registers_i/U1080/B1,3.91,3.95
core_i/cs_registers_i/U1080/B2,3.93,3.96
core_i/cs_registers_i/U1080/ZN,3.95,3.91
core_i/cs_registers_i/U1081/A1,3.92,3.97
core_i/cs_registers_i/U1081/A2,3.91,3.96
core_i/cs_registers_i/U1081/B1,3.93,3.96
core_i/cs_registers_i/U1081/B2,3.93,3.96
core_i/cs_registers_i/U1081/ZN,3.96,3.91
core_i/cs_registers_i/U1084/A1,3.97,4.05
core_i/cs_registers_i/U1084/A2,3.99,4.06
core_i/cs_registers_i/U1084/B1,3.97,4.04
core_i/cs_registers_i/U1084/B2,3.98,4.05
core_i/cs_registers_i/U1084/ZN,4.04,3.97
core_i/cs_registers_i/U28/A1,0.16,0.10
core_i/cs_registers_i/U28/A2,0.11,0.07
core_i/cs_registers_i/U28/ZN,0.07,0.11
core_i/cs_registers_i/U46/A,0.13,0.23
core_i/cs_registers_i/U46/Z,0.13,0.23
core_i/cs_registers_i/U71/A,0.60,0.76
core_i/cs_registers_i/U71/ZN,0.76,0.60
core_i/cs_registers_i/U700/A,0.54,0.65
core_i/cs_registers_i/U700/ZN,0.65,0.54
core_i/cs_registers_i/U704/A,0.48,0.57
core_i/cs_registers_i/U704/ZN,0.57,0.48
core_i/cs_registers_i/U708/A,0.49,0.56
core_i/cs_registers_i/U708/ZN,0.56,0.49
core_i/cs_registers_i/U712/A,0.47,0.54
core_i/cs_registers_i/U712/ZN,0.54,0.47
core_i/cs_registers_i/U716/A,0.38,0.44
core_i/cs_registers_i/U716/ZN,0.44,0.38
core_i/U2/A,0.16,0.17
core_i/U2/Z,0.16,0.17
core_i/U3/A1,0.01,0.07
core_i/U3/A2,0.01,0.08
core_i/U3/ZN,0.01,0.07
core_i/U4/A1,0.10,0.10
core_i/U4/A2,0.05,0.08
core_i/U4/ZN,0.05,0.08
core_i/U5/A,0.01,0.01
